System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211215_155011.1356;39.1039;0;0;0.2981328;0;0;
20211215_155011.1677;71.1889;0;0;0.2981328;0;0;
20211215_155011.1873;90.7415;0;0;0.2981328;0;0;
20211215_155011.2118;115.3063;0;0;0.2981328;0;0;
20211215_155011.2299;133.355;0;0;0.2981328;0;0;
20211215_155011.2880;191.5094;0;0;0.2981328;0;0;
20211215_155011.3051;208.5553;0;0;0.2981328;0;0;
20211215_155011.3231;226.603;0;0;0.2981328;0;0;
20211215_155011.3552;258.6894;0;0;0.2981328;0;0;
20211215_155011.3753;278.7414;0;0;0.2981328;0;0;
20211215_155011.4013;304.8121;0;0;0.2981328;0;0;
20211215_155011.4194;322.8591;0;0;0.2981328;0;0;
20211215_155011.4805;384.0227;0;0;0.2981328;0;0;
20211215_155011.5121;415.6364;0;0;0.2981328;0;0;
20211215_155011.5392;442.7066;0;0;0.2981328;0;0;
20211215_155011.5598;463.2576;0;0;0.2981328;0;0;
20211215_155011.5863;489.8031;0;0;0.2981328;0;0;
20211215_155011.6054;508.8543;0;0;0.2981328;0;0;
20211215_155011.6254;528.9077;0;0;0.2981328;0;0;
20211215_155011.6816;585.1165;0;0;0.2981328;0;0;
20211215_155011.7121;615.5754;0;0;0.2981328;0;0;
20211215_155011.7306;634.1345;0;0;0.2981328;0;0;
20211215_155011.7507;654.1783;0;0;0.2981328;0;0;
20211215_155011.7753;678.743;0;0;0.2981328;0;0;
20211215_155011.7933;696.7917;0;0;0.2981328;0;0;
20211215_155011.8234;726.8728;0;0;0.2981328;0;0;
20211215_155011.8841;787.5452;0;0;0.2981328;0;0;
20211215_155011.9016;805.0919;0;0;0.2981328;0;0;
20211215_155011.9191;822.6388;0;0;0.2981328;0;0;
20211215_155011.9496;853.1363;0;0;0.2981328;0;0;
20211215_155011.9785;881.9916;0;0;0.2981328;0;0;
20211215_155011.9990;902.5287;0;0;0.2981328;0;0;
20211215_155012.0266;930.0904;0;0;0.2981328;0;0;
20211215_155012.0441;947.6366;0;0;0.2981328;0;0;
20211215_155012.0817;985.2373;0;0;0.2981328;0;0;
20211215_155012.1068;1010.3035;0;0;0.2981328;0;0;
20211215_155012.1369;1040.3835;0;0;0.2981328;0;0;
20211215_155012.1695;1072.97;0;0;0.2981328;0;0;
20211215_155012.1976;1101.045;0;0;0.2981328;0;0;
20211215_155012.2297;1133.2263;0;0;0.2981328;0;0;
20211215_155012.2500;1153.448;0;0;0.2981328;0;0;
20211215_155012.2911;1194.5582;0;0;0.2981328;0;0;
20211215_155012.3196;1223.1344;0;0;0.2981328;0;0;
20211215_155012.3548;1258.2696;0;0;0.2981328;0;0;
20211215_155012.3752;1278.6687;0;0;0.2981328;0;0;
20211215_155012.4028;1306.2908;0;0;0.2971992;0;0;
20211215_155012.4284;1331.8574;0;0;0.2971992;0;0;
20211215_155012.4494;1352.9132;0;0;0.2971992;0;0;
20211215_155012.4892;1392.6698;0;0;0.2971992;0;0;
20211215_155012.5122;1415.7313;0;0;0.2971992;0;0;
20211215_155012.5447;1448.2157;0;0;0.2971992;0;0;
20211215_155012.5758;1479.2464;0;0;0.2971992;0;0;
20211215_155012.6054;1508.8547;0;0;0.2971992;0;0;
20211215_155012.6314;1534.9237;0;0;0.2971992;0;0;
20211215_155012.6490;1552.441;0;0;0.2971992;0;0;
20211215_155012.7097;1613.1824;0;0;0.2971992;0;0;
20211215_155012.7297;1633.2381;0;0;0.2971992;0;0;
20211215_155012.7644;1667.918;0;0;0.2971992;0;0;
20211215_155012.7935;1697.0293;0;0;0.2971992;0;0;
20211215_155012.8236;1727.1107;0;0;0.2971992;0;0;
20211215_155012.8538;1757.2979;0;0;0.2971992;0;0;
20211215_155012.9105;1814.0287;0;0;0.2981328;0;0;
20211215_155012.9301;1833.5803;0;0;0.2981328;0;0;
20211215_155012.9643;1867.8027;0;0;0.2981328;0;0;
20211215_155012.9825;1886.0027;0;0;0.2981328;0;0;
20211215_155013.0126;1916.1155;0;0;0.2981328;0;0;
20211215_155013.0426;1946.0897;0;0;0.2981328;0;0;
20211215_155013.0632;1966.7035;0;0;0.2981328;0;0;
20211215_155013.1048;2008.3265;0;0;0.2981328;0;0;
20211215_155013.1253;2028.84;0;0;0.2981328;0;0;
20211215_155013.1489;2052.4312;0;0;0.2981328;0;0;
20211215_155013.1691;2072.6218;0;0;0.2981328;0;0;
20211215_155013.2014;2104.9106;0;0;0.2981328;0;0;
20211215_155013.2305;2133.9872;0;0;0.2981328;0;0;
20211215_155013.2506;2154.0416;0;0;0.2981328;0;0;
20211215_155013.3063;2209.8111;0;0;0.2981328;0;0;
20211215_155013.3234;2226.8559;0;0;0.2981328;0;0;
20211215_155013.3560;2259.4478;0;0;0.2981328;0;0;
20211215_155013.3864;2289.9201;0;0;0.2981328;0;0;
20211215_155013.4190;2322.5069;0;0;0.2981328;0;0;
20211215_155013.4493;2352.7852;0;0;0.2981328;0;0;
20211215_155013.5186;2422.0985;0;0;0.2981328;0;0;
20211215_155013.5432;2446.6875;0;0;0.2981328;0;0;
20211215_155013.5719;2475.4002;0;0;0.2981328;0;0;
20211215_155013.5887;2492.1792;0;0;0.2981328;0;0;
20211215_155013.6072;2510.7225;0;0;0.2981328;0;0;
20211215_155013.6413;2544.8258;0;0;0.2981328;0;0;
20211215_155013.6676;2571.1191;0;0;0.2981328;0;0;
20211215_155013.7257;2629.1762;0;0;0.2981328;0;0;
20211215_155013.7508;2654.2871;0;0;0.2981328;0;0;
20211215_155013.7769;2680.3715;0;0;0.2981328;0;0;
20211215_155013.7944;2697.9171;0;0;0.2981328;0;0;
20211215_155013.8240;2727.4957;0;0;0.2981328;0;0;
20211215_155013.8564;2759.8457;0;0;0.2981328;0;0;
20211215_155013.9175;2820.9837;0;0;0.2971992;0;0;
20211215_155013.9494;2852.923;0;0;0.2971992;0;0;
20211215_155013.9785;2881.9995;0;0;0.2971992;0;0;
20211215_155014.0106;2914.1013;0;0;0.2971992;0;0;
20211215_155014.0422;2945.705;0;0;0.2971992;0;0;
20211215_155014.0743;2977.7904;0;0;0.2971992;0;0;
20211215_155014.1149;3018.914;0;0;0.2971992;0;0;
20211215_155014.1365;3039.9947;0;0;0.2971992;0;0;
20211215_155014.1696;3073.0932;0;0;0.2971992;0;0;
20211215_155014.1947;3098.1608;0;0;0.2971992;0;0;
20211215_155014.2122;3115.7053;0;0;0.2971992;0;0;
20211215_155014.2423;3145.7987;0;0;0.2971992;0;0;
20211215_155014.2779;3181.4029;0;0;0.2971992;0;0;
20211215_155014.3200;3223.5153;0;0;0.2971992;0;0;
20211215_155014.3546;3258.1074;0;0;0.2971992;0;0;
20211215_155014.3822;3285.692;0;0;0.2981328;0;0;
20211215_155014.3992;3302.7368;0;0;0.2981328;0;0;
20211215_155014.4178;3321.3013;0;0;0.2981328;0;0;
20211215_155014.4349;3338.3635;0;0;0.2981328;0;0;
20211215_155014.4629;3366.4212;0;0;0.2981328;0;0;
20211215_155014.4805;3383.9685;0;0;0.2981328;0;0;
20211215_155014.5382;3441.6519;0;0;0.2981328;0;0;
20211215_155014.5719;3475.3463;0;0;0.2981328;0;0;
20211215_155014.6025;3506.5015;0;0;0.2981328;0;0;
20211215_155014.6352;3538.7296;0;0;0.2981328;0;0;
20211215_155014.6664;3569.9053;0;0;0.2981328;0;0;
20211215_155014.7295;3632.9787;0;0;0.2981328;0;0;
20211215_155014.7616;3665.0644;0;0;0.2981328;0;0;
20211215_155014.7952;3698.6544;0;0;0.2981328;0;0;
20211215_155014.8217;3725.1952;0;0;0.2981328;0;0;
20211215_155014.8508;3754.2737;0;0;0.2981328;0;0;
20211215_155014.8869;3790.3991;0;0;0.2971992;0;0;
20211215_155014.9270;3830.4758;0;0;0.2971992;0;0;
20211215_155014.9465;3850.0291;0;0;0.2971992;0;0;
20211215_155014.9641;3867.5744;0;0;0.2971992;0;0;
20211215_155014.9947;3898.1579;0;0;0.2971992;0;0;
20211215_155015.0247;3928.2362;0;0;0.2971992;0;0;
20211215_155015.0423;3945.7934;0;0;0.2971992;0;0;
20211215_155015.0744;3977.8774;0;0;0.2971992;0;0;
20211215_155015.1356;4039.052;0;0;0.2971992;0;0;
20211215_155015.1681;4071.6381;0;0;0.2971992;0;0;
20211215_155015.1882;4091.7195;0;0;0.2971992;0;0;
20211215_155015.2175;4120.9486;0;0;0.2971992;0;0;
20211215_155015.2424;4145.8792;0;0;0.2971992;0;0;
20211215_155015.2770;4180.4714;0;0;0.2971992;0;0;
20211215_155015.3401;4243.6403;0;0;0.2971992;0;0;
20211215_155015.3682;4271.714;0;0;0.2971992;0;0;
20211215_155015.3868;4290.2638;0;0;0.2981328;0;0;
20211215_155015.4184;4321.8478;0;0;0.2981328;0;0;
