System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211216_113503.0068;42.1116;0;0;0.415503;0;0;
20211216_113503.0243;59.6585;0;0;0.415503;0;0;
20211216_113503.0444;79.7115;0;0;0.415503;0;0;
20211216_113503.0730;108.2876;0;0;0.4097914;0;0;
20211216_113503.1051;140.3736;0;0;0.4097914;0;0;
20211216_113503.1672;202.5396;0;0;0.4097914;0;0;
20211216_113503.1968;232.1161;0;0;0.4097914;0;0;
20211216_113503.2299;265.2046;0;0;0.4097914;0;0;
20211216_113503.2595;294.7832;0;0;0.4097914;0;0;
20211216_113503.2936;328.8765;0;0;0.4097914;0;0;
20211216_113503.3256;360.9595;0;0;0.4097914;0;0;
20211216_113503.3823;417.6109;0;0;0.4097914;0;0;
20211216_113503.4179;453.2044;0;0;0.4097914;0;0;
20211216_113503.4475;482.783;0;0;0.4097914;0;0;
20211216_113503.4801;515.3704;0;0;0.4097914;0;0;
20211216_113503.5091;544.4482;0;0;0.4097914;0;0;
20211216_113503.5804;615.6735;0;0;0.4097914;0;0;
20211216_113503.6014;636.7659;0;0;0.4097914;0;0;
20211216_113503.6348;670.1052;0;0;0.4097914;0;0;
20211216_113503.6629;698.1809;0;0;0.4097914;0;0;
20211216_113503.6954;730.767;0;0;0.4097914;0;0;
20211216_113503.7140;749.3164;0;0;0.4097914;0;0;
20211216_113503.7341;769.369;0;0;0.4097914;0;0;
20211216_113503.7787;813.9881;0;0;0.4097914;0;0;
20211216_113503.8072;842.5642;0;0;0.4097914;0;0;
20211216_113503.8373;872.6438;0;0;0.4097914;0;0;
20211216_113503.8574;892.6975;0;0;0.4097914;0;0;
20211216_113503.8839;919.2675;0;0;0.4174071;0;0;
20211216_113503.9185;953.8599;0;0;0.4174071;0;0;
20211216_113503.9817;1017.5493;0;0;0.4174071;0;0;
20211216_113504.0130;1048.2952;0;0;0.4174071;0;0;
20211216_113504.0446;1079.8767;0;0;0.4174071;0;0;
20211216_113504.0731;1108.4531;0;0;0.4174071;0;0;
20211216_113504.1052;1140.5671;0;0;0.4174071;0;0;
20211216_113504.1348;1170.1454;0;0;0.4174071;0;0;
20211216_113504.1879;1223.2578;0;0;0.4174071;0;0;
20211216_113504.2120;1247.3532;0;0;0.4174071;0;0;
20211216_113504.2321;1267.4041;0;0;0.4174071;0;0;
20211216_113504.2616;1296.954;0;0;0.4174071;0;0;
20211216_113504.2953;1330.5747;0;0;0.4174071;0;0;
20211216_113504.3208;1356.1118;0;0;0.4174071;0;0;
20211216_113504.3394;1374.6852;0;0;0.4174071;0;0;
20211216_113504.4025;1437.8291;0;0;0.4155032;0;0;
20211216_113504.4201;1455.3961;0;0;0.4155032;0;0;
20211216_113504.4447;1480.0243;0;0;0.4155032;0;0;
20211216_113504.4788;1514.0839;0;0;0.4155032;0;0;
20211216_113504.5119;1547.1731;0;0;0.4155032;0;0;
20211216_113504.5444;1579.7585;0;0;0.4155032;0;0;
20211216_113504.5896;1624.9114;0;0;0.4155032;0;0;
20211216_113504.6096;1644.9616;0;0;0.4155032;0;0;
20211216_113504.6337;1669.0219;0;0;0.4155032;0;0;
20211216_113504.6698;1705.124;0;0;0.4155032;0;0;
20211216_113504.6984;1733.669;0;0;0.4155032;0;0;
20211216_113504.7330;1768.2908;0;0;0.4155032;0;0;
20211216_113504.8052;1840.4769;0;0;0.4155032;0;0;
20211216_113504.8347;1870.0319;0;0;0.4155032;0;0;
20211216_113504.8533;1888.58;0;0;0.4155032;0;0;
20211216_113504.8833;1919.1624;0;0;0.4155032;0;0;
20211216_113504.9139;1949.2666;0;0;0.4155032;0;0;
20211216_113504.9317;1966.9804;0;0;0.4155032;0;0;
20211216_113504.9928;2028.1159;0;0;0.4155032;0;0;
20211216_113505.0098;2045.1611;0;0;0.4155032;0;0;
20211216_113505.0397;2074.9697;0;0;0.4155032;0;0;
20211216_113505.0723;2107.5848;0;0;0.4155032;0;0;
20211216_113505.1016;2136.8961;0;0;0.4155032;0;0;
20211216_113505.1404;2175.7378;0;0;0.4155032;0;0;
20211216_113505.2096;2244.9499;0;0;0.4155032;0;0;
20211216_113505.2302;2265.5377;0;0;0.4155032;0;0;
20211216_113505.2628;2298.1231;0;0;0.4155032;0;0;
20211216_113505.2904;2325.726;0;0;0.4155032;0;0;
20211216_113505.3231;2358.4616;0;0;0.4155032;0;0;
20211216_113505.3508;2386.1488;0;0;0.4155032;0;0;
20211216_113505.4020;2437.2843;0;0;0.5100635;0;0;
20211216_113505.4302;2465.4876;0;0;0.5100635;0;0;
20211216_113505.4608;2496.0728;0;0;0.5100635;0;0;
20211216_113505.4796;2514.9205;0;0;0.5100635;0;0;
20211216_113505.5092;2544.4697;0;0;0.5100635;0;0;
20211216_113505.5442;2579.4994;0;0;0.5100635;0;0;
20211216_113505.6203;2655.644;0;0;0.5100635;0;0;
20211216_113505.6478;2683.1421;0;0;0.5100635;0;0;
20211216_113505.6679;2703.1951;0;0;0.5100635;0;0;
20211216_113505.6980;2733.7724;0;0;0.5100635;0;0;
20211216_113505.7310;2766.2957;0;0;0.5100635;0;0;
20211216_113505.7636;2798.8769;0;0;0.5100635;0;0;
20211216_113505.8097;2845.0276;0;0;0.5100635;0;0;
20211216_113505.8351;2870.4555;0;0;0.5100635;0;0;
20211216_113505.8537;2889.036;0;0;0.5100635;0;0;
20211216_113505.8843;2920.0884;0;0;0.4751587;0;0;
20211216_113505.9142;2949.4912;0;0;0.4751587;0;0;
20211216_113505.9318;2967.1224;0;0;0.4751587;0;0;
20211216_113505.9610;2996.2689;0;0;0.4751587;0;0;
