System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211220_173321.1975;42.1127;0;0;0;0;0;
20211220_173321.2301;74.7052;0;0;0;0;0;
20211220_173321.2652;109.7984;0;0;0;0;0;
20211220_173321.2943;138.8759;0;0;0;0;0;
20211220_173321.3359;180.4868;0;0;0;0;0;
20211220_173321.3555;200.0466;0;0;0;0;0;
20211220_173321.3827;227.2518;0;0;0;0;0;
20211220_173321.4183;262.9075;0;0;0;0;0;
20211220_173321.4459;290.4811;0;0;0;0;0;
20211220_173321.4810;325.5746;0;0;0;0;0;
20211220_173321.5547;399.2702;0;0;0;0;0;
20211220_173321.5772;421.8302;0;0;0;0;0;
20211220_173321.6043;448.9024;0;0;0;0;0;
20211220_173321.6399;484.4977;0;0;0;0;0;
20211220_173321.6695;514.1145;0;0;0;0;0;
20211220_173321.7016;546.2295;0;0;0;0;0;
20211220_173321.7472;591.8214;0;0;0;0;0;
20211220_173321.7763;620.8985;0;0;0;0;0;
20211220_173321.7934;637.9731;0;0;0;0;0;
20211220_173321.8239;668.5255;0;0;0;0;0;
20211220_173321.8565;701.1136;0;0;0;0;0;
20211220_173321.8846;729.1865;0;0;0;0;0;
20211220_173321.9031;747.7363;0;0;0;0;0;
20211220_173321.9643;808.8994;0;0;0;0;0;
20211220_173321.9959;840.4823;0;0;0;0;0;
20211220_173322.0159;860.5353;0;0;0;0;0;
20211220_173322.0390;883.5968;0;0;0;0;0;
20211220_173322.0701;914.6895;0;0;0;0;0;
20211220_173322.0871;931.7354;0;0;0;0;0;
20211220_173322.1443;988.8872;0;0;0;0;0;
20211220_173322.1704;1014.9559;0;0;0;0;0;
20211220_173322.1994;1044.0337;0;0;0;0;0;
20211220_173322.2326;1077.1567;0;0;0;0;0;
20211220_173322.2607;1105.2672;0;0;0;0;0;
20211220_173322.2933;1137.8532;0;0;0;0;0;
20211220_173322.3670;1211.5778;0;0;0;0;0;
20211220_173322.3990;1243.6348;0;0;0;0;0;
20211220_173322.4191;1263.7165;0;0;0;0;0;
20211220_173322.4522;1296.8046;0;0;0;0;0;
20211220_173322.4803;1324.88;0;0;0;0;0;
20211220_173322.5169;1361.4484;0;0;0;0;0;
20211220_173322.5525;1397.0423;0;0;0;0;0;
20211220_173322.5760;1420.6049;0;0;0;0;0;
20211220_173322.6051;1449.6824;0;0;0;0;0;
20211220_173322.6407;1485.2913;0;0;0;0;0;
20211220_173322.6698;1514.3691;0;0;0;0;0;
20211220_173322.6969;1541.4413;0;0;0;0;0;
20211220_173322.7149;1559.4893;0;0;0;0;0;
20211220_173322.7620;1606.6137;0;0;0;0;0;
20211220_173322.7926;1637.2047;0;0;0;0;0;
20211220_173322.8247;1669.29;0;0;0;0;0;
20211220_173322.8568;1701.3754;0;0;0;0;0;
20211220_173322.8869;1731.4557;0;0;0;0;0;
20211220_173322.9200;1764.5439;0;0;0;0;0;
20211220_173322.9641;1808.6615;0;0;0;0;0;
20211220_173322.9942;1838.7866;0;0;0;0;0;
20211220_173323.0253;1869.8694;0;0;0;0;0;
20211220_173323.0429;1887.4471;0;0;0;0;0;
20211220_173323.0759;1920.5352;0;0;0;0;0;
20211220_173323.1070;1951.5914;0;0;0;0;0;
20211220_173323.1657;2010.2427;0;0;0;0;0;
20211220_173323.1998;2044.3416;0;0;0;0;0;
20211220_173323.2318;2076.4279;0;0;0;0;0;
20211220_173323.2620;2106.5386;0;0;0;0;0;
20211220_173323.2947;2139.3258;0;0;0;0;0;
20211220_173323.3198;2164.3677;0;0;0;0;0;
20211220_173323.3684;2212.9971;0;0;0;0;0;
20211220_173323.3890;2233.5805;0;0;0;0;0;
20211220_173323.4135;2258.1186;0;0;0;0;0;
20211220_173323.4306;2275.1907;0;0;0;0;0;
20211220_173323.4512;2295.7465;0;0;0;0;0;
20211220_173323.4812;2325.7978;0;0;0;0;0;
20211220_173323.5163;2360.891;0;0;0;0;0;
20211220_173323.5790;2423.5669;0;0;0;0;0;
20211220_173323.6066;2451.1416;0;0;0;0;0;
20211220_173323.6336;2478.213;0;0;0;0;0;
20211220_173323.6522;2496.7628;0;0;0;0;0;
20211220_173323.6703;2514.8565;0;0;0;0;0;
20211220_173323.6990;2543.5975;0;0;0;0;0;
20211220_173323.7311;2575.6842;0;0;0;0;0;
20211220_173323.7883;2632.8612;0;0;0;0;0;
20211220_173323.8053;2649.9071;0;0;0;0;0;
20211220_173323.8254;2669.9614;0;0;0;0;0;
20211220_173323.8560;2700.5401;0;0;0;0;0;
20211220_173323.8912;2735.8166;0;0;0;0;0;
20211220_173323.9203;2764.9217;0;0;0;0;0;
20211220_173323.9765;2821.042;0;0;0;0;0;
20211220_173323.9936;2838.1766;0;0;0;0;0;
20211220_173324.0126;2857.1885;0;0;0;0;0;
20211220_173324.0457;2890.3037;0;0;0;0;0;
20211220_173324.0727;2917.2444;0;0;0;0;0;
20211220_173324.0932;2937.804;0;0;0;0;0;
20211220_173324.1173;2961.8673;0;0;0;0;0;
20211220_173324.1374;2981.9523;0;0;0;0;0;
20211220_173324.1840;3028.544;0;0;0;0;0;
20211220_173324.2151;3059.6395;0;0;0;0;0;
20211220_173324.2456;3090.2209;0;0;0;0;0;
20211220_173324.2754;3120.0039;0;0;0;0;0;
20211220_173324.2951;3139.6804;0;0;0;0;0;
20211220_173324.3277;3172.2661;0;0;0;0;0;
20211220_173324.3868;3231.4226;0;0;0;0;0;
20211220_173324.4038;3248.3599;0;0;0;0;0;
20211220_173324.4213;3266.3744;0;0;0;0;0;
20211220_173324.4449;3289.467;0;0;0;0;0;
20211220_173324.4624;3306.9815;0;0;0;0;0;
20211220_173324.4804;3325.0363;0;0;0;0;0;
20211220_173324.5079;3352.4754;0;0;0;0;0;
20211220_173324.5264;3371.0248;0;0;0;0;0;
20211220_173324.5435;3388.07;0;0;0;0;0;
20211220_173324.5866;3431.1848;0;0;0;0;0;
20211220_173324.6071;3452.1512;0;0;0;0;0;
20211220_173324.6377;3482.2606;0;0;0;0;0;
20211220_173324.6648;3509.3409;0;0;0;0;0;
20211220_173324.7013;3545.8905;0;0;0;0;0;
20211220_173324.7284;3572.9668;0;0;0;0;0;
20211220_173324.7895;3634.1272;0;0;0;0;0;
20211220_173324.8252;3669.7549;0;0;0;0;0;
20211220_173324.8557;3700.3367;0;0;0;0;0;
20211220_173324.8822;3726.7624;0;0;0;0;0;
20211220_173324.8997;3744.3038;0;0;0;0;0;
20211220_173324.9188;3763.3864;0;0;0;0;0;
20211220_173324.9453;3789.9251;0;0;0;0;0;
20211220_173324.9940;3838.549;0;0;0;0;0;
20211220_173325.0123;3856.9322;0;0;0;0;0;
20211220_173325.0459;3890.5221;0;0;0;0;0;
20211220_173325.0745;3919.1262;0;0;0;0;0;
20211220_173325.1041;3948.6543;0;0;0;0;0;
20211220_173325.1394;3984.0048;0;0;0;0;0;
20211220_173325.1966;4041.1566;0;0;0;0;0;
20211220_173325.2149;4059.4384;0;0;0;0;0;
20211220_173325.2319;4076.4849;0;0;0;0;0;
20211220_173325.2625;4107.0643;0;0;0;0;0;
20211220_173325.2955;4140.1238;0;0;0;0;0;
20211220_173325.3201;4164.6899;0;0;0;0;0;
20211220_173325.3402;4184.7412;0;0;0;0;0;
20211220_173325.4033;4247.9093;0;0;0;0;0;
20211220_173325.4309;4275.4822;0;0;0;0;0;
20211220_173325.4509;4295.5352;0;0;0;0;0;
20211220_173325.4831;4327.6973;0;0;0;0;0;
20211220_173325.5082;4352.7635;0;0;0;0;0;
20211220_173325.5262;4370.8118;0;0;0;0;0;
20211220_173325.5448;4389.3957;0;0;0;0;0;
20211220_173325.6055;4450.0711;0;0;0;0;0;
20211220_173325.6391;4483.6597;0;0;0;0;0;
