System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211220_170440.0902;48.1267;0;0;0;0;0;
20211220_170440.1188;76.7024;0;0;0;0;0;
20211220_170440.1534;111.2945;0;0;0;0;0;
20211220_170440.1839;141.8762;0;0;0;0;0;
20211220_170440.2466;204.543;0;0;0;0;0;
20211220_170440.2752;233.1184;0;0;0;0;0;
20211220_170440.3073;265.216;0;0;0;0;0;
20211220_170440.3424;300.3098;0;0;0;0;0;
20211220_170440.3679;325.8774;0;0;0;0;0;
20211220_170440.4025;360.4698;0;0;0;0;0;
20211220_170440.4602;418.1227;0;0;0;0;0;
20211220_170440.4923;450.2087;0;0;0;0;0;
20211220_170440.5284;486.304;0;0;0;0;0;
20211220_170440.5585;516.3847;0;0;0;0;0;
20211220_170440.5925;550.4146;0;0;0;0;0;
20211220_170440.6537;611.5853;0;0;0;0;0;
20211220_170440.6792;637.1525;0;0;0;0;0;
20211220_170440.7133;671.2435;0;0;0;0;0;
20211220_170440.7444;702.3257;0;0;0;0;0;
20211220_170440.7805;738.4217;0;0;0;0;0;
20211220_170440.8061;763.9906;0;0;0;0;0;
20211220_170440.8497;807.6068;0;0;0;0;0;
20211220_170440.8722;830.1656;0;0;0;0;0;
20211220_170440.9018;859.7441;0;0;0;0;0;
20211220_170440.9304;888.3226;0;0;0;0;0;
20211220_170440.9650;922.9126;0;0;0;0;0;
20211220_170440.9946;952.4909;0;0;0;0;0;
20211220_170441.0698;1027.6914;0;0;0;0;0;
20211220_170441.0906;1048.4837;0;0;0;0;0;
20211220_170441.1264;1084.3575;0;0;0;0;0;
20211220_170441.1500;1107.918;0;0;0;0;0;
20211220_170441.1841;1142.0052;0;0;0;0;0;
20211220_170441.2157;1173.5895;0;0;0;0;0;
20211220_170441.2603;1218.2086;0;0;0;0;0;
20211220_170441.2803;1238.2612;0;0;0;0;0;
20211220_170441.3069;1264.8316;0;0;0;0;0;
20211220_170441.3410;1298.9274;0;0;0;0;0;
20211220_170441.3706;1328.5708;0;0;0;0;0;
20211220_170441.4053;1363.1936;0;0;0;0;0;
20211220_170441.4674;1425.3279;0;0;0;0;0;
20211220_170441.4945;1452.4001;0;0;0;0;0;
20211220_170441.5296;1487.4936;0;0;0;0;0;
20211220_170441.5561;1514.0643;0;0;0;0;0;
20211220_170441.5887;1546.6517;0;0;0;0;0;
20211220_170441.6199;1577.8011;0;0;0;0;0;
20211220_170441.6791;1636.988;0;0;0;0;0;
20211220_170441.7157;1673.5847;0;0;0;0;0;
20211220_170441.7472;1705.1403;0;0;0;0;0;
20211220_170441.7733;1731.24;0;0;0;0;0;
20211220_170441.8064;1764.2971;0;0;0;0;0;
20211220_170441.8736;1831.5049;0;0;0;0;0;
20211220_170441.9057;1863.5903;0;0;0;0;0;
20211220_170441.9317;1889.6316;0;0;0;0;0;
20211220_170441.9678;1925.7269;0;0;0;0;0;
20211220_170441.9939;1951.8072;0;0;0;0;0;
20211220_170442.0265;1984.3932;0;0;0;0;0;
20211220_170442.0736;2031.5191;0;0;0;0;0;
20211220_170442.0931;2051.0717;0;0;0;0;0;
20211220_170442.1248;2082.7757;0;0;0;0;0;
20211220_170442.1544;2112.3543;0;0;0;0;0;
20211220_170442.1835;2141.4639;0;0;0;0;0;
20211220_170442.2136;2171.5121;0;0;0;0;0;
20211220_170442.2783;2236.1893;0;0;0;0;0;
20211220_170442.3074;2265.3658;0;0;0;0;0;
20211220_170442.3415;2299.4466;0;0;0;0;0;
20211220_170442.3686;2326.5481;0;0;0;0;0;
20211220_170442.4034;2361.3474;0;0;0;0;0;
20211220_170442.4340;2391.9284;0;0;0;0;0;
20211220_170442.4791;2437.049;0;0;0;0;0;
20211220_170442.5111;2469.0076;0;0;0;0;0;
20211220_170442.5313;2489.2081;0;0;0;0;0;
20211220_170442.5568;2514.7484;0;0;0;0;0;
20211220_170442.5904;2548.3697;0;0;0;0;0;
20211220_170442.6234;2581.3746;0;0;0;0;0;
20211220_170442.6837;2641.6199;0;0;0;0;0;
20211220_170442.7161;2674.0039;0;0;0;0;0;
20211220_170442.7453;2703.223;0;0;0;0;0;
20211220_170442.7786;2736.5628;0;0;0;0;0;
20211220_170442.8076;2765.4921;0;0;0;0;0;
20211220_170442.8433;2801.2618;0;0;0;0;0;
20211220_170442.8865;2844.3777;0;0;0;0;0;
20211220_170442.9172;2875.111;0;0;0;0;0;
20211220_170442.9453;2903.188;0;0;0;0;0;
20211220_170442.9653;2923.2389;0;0;0;0;0;
