System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_133427.3780;35.5946;0;0;0.006;0;0;
20220109_133427.4031;60.6632;0;0;0.006;0;0;
20220109_133427.4332;90.7415;0;0;0.006;0;0;
20220109_133427.4532;110.7944;0;0;0.006;0;0;
20220109_133427.4778;135.3605;0;0;0.006;0;0;
20220109_133427.4963;153.9093;0;0;0.006;0;0;
20220109_133427.5545;212.0639;0;0;0.006;0;0;
20220109_133427.5792;236.7864;0;0;0.006;0;0;
20220109_133427.6068;264.3596;0;0;0.006;0;0;
20220109_133427.6384;295.9435;0;0;0.006;0;0;
20220109_133427.6679;325.5224;0;0;0.006;0;0;
20220109_133427.6855;343.0714;0;0;0.006;0;0;
20220109_133427.7467;404.2315;0;0;0.006;0;0;
20220109_133427.7797;437.3197;0;0;0.006;0;0;
20220109_133427.8099;467.4925;0;0;0.006;0;0;
20220109_133427.8400;497.5602;0;0;0.006;0;0;
20220109_133427.8676;525.1628;0;0;0.006;0;0;
20220109_133427.8886;546.22;0;0;0.005999996;0;0;
20220109_133427.9472;604.7931;0;0;0.005999996;0;0;
20220109_133427.9788;636.3439;0;0;0.005999996;0;0;
20220109_133427.9963;653.8905;0;0;0.005999996;0;0;
20220109_133428.0165;674.0568;0;0;0.005999996;0;0;
20220109_133428.0423;699.9029;0;0;0.005999996;0;0;
20220109_133428.0599;717.4491;0;0;0.005999996;0;0;
20220109_133428.0890;746.5594;0;0;0.005999996;0;0;
20220109_133428.1642;821.7476;0;0;0.005999996;0;0;
20220109_133428.1862;843.8131;0;0;0.005999996;0;0;
20220109_133428.2203;877.8751;0;0;0.005999996;0;0;
20220109_133428.2429;900.4645;0;0;0.005999996;0;0;
20220109_133428.2629;920.5168;0;0;0.005999996;0;0;
20220109_133428.2910;948.5918;0;0;0.005999996;0;0;
20220109_133428.3085;966.1104;0;0;0.005999996;0;0;
20220109_133428.3642;1021.7577;0;0;0.005999996;0;0;
20220109_133428.3826;1040.2159;0;0;0.005999996;0;0;
20220109_133428.4033;1060.8362;0;0;0.005999996;0;0;
20220109_133428.4358;1093.4236;0;0;0.005999996;0;0;
20220109_133428.4659;1123.5053;0;0;0.005999996;0;0;
20220109_133428.4980;1155.6129;0;0;0.005999996;0;0;
20220109_133428.5692;1226.802;0;0;0.005999996;0;0;
20220109_133428.5942;1251.774;0;0;0.005999996;0;0;
20220109_133428.6234;1280.9535;0;0;0.005999996;0;0;
20220109_133428.6555;1313.0883;0;0;0.005999996;0;0;
20220109_133428.6852;1342.7642;0;0;0.005999996;0;0;
20220109_133428.7157;1373.2968;0;0;0.005999996;0;0;
20220109_133428.7618;1419.4181;0;0;0.005999996;0;0;
20220109_133428.7903;1447.8303;0;0;0.005999996;0;0;
