System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_154814.5989;41.1097;0;0;0.416263;0;0;
20220109_154814.6200;62.1649;0;0;0.416263;0;0;
20220109_154814.6521;94.2508;0;0;0.416263;0;0;
20220109_154814.6801;122.3258;0;0;0.416263;0;0;
20220109_154814.7132;155.4125;0;0;0.416263;0;0;
20220109_154814.7744;216.5763;0;0;0.4186851;0;0;
20220109_154814.8035;245.6524;0;0;0.4186851;0;0;
20220109_154814.8396;281.7484;0;0;0.4186851;0;0;
20220109_154814.8696;311.8283;0;0;0.4186851;0;0;
20220109_154814.9012;343.4122;0;0;0.4186851;0;0;
20220109_154814.9599;402.1279;0;0;0.4186851;0;0;
20220109_154814.9770;419.173;0;0;0.4186851;0;0;
20220109_154815.0096;451.7594;0;0;0.4186851;0;0;
20220109_154815.0276;469.8074;0;0;0.4186851;0;0;
20220109_154815.0547;496.8788;0;0;0.4186851;0;0;
20220109_154815.0878;529.9669;0;0;0.4186851;0;0;
20220109_154815.1184;560.5585;0;0;0.4186851;0;0;
20220109_154815.1670;609.1876;0;0;0.4186851;0;0;
20220109_154815.1966;638.7671;0;0;0.4186851;0;0;
20220109_154815.2278;669.9417;0;0;0.418685;0;0;
20220109_154815.2448;686.9957;0;0;0.418685;0;0;
20220109_154815.2744;716.5756;0;0;0.418685;0;0;
20220109_154815.3060;748.1595;0;0;0.418685;0;0;
20220109_154815.3676;809.8237;0;0;0.418685;0;0;
20220109_154815.3977;839.9036;0;0;0.418685;0;0;
20220109_154815.4308;872.9921;0;0;0.418685;0;0;
20220109_154815.4634;905.5784;0;0;0.418685;0;0;
20220109_154815.4950;937.1623;0;0;0.418685;0;0;
20220109_154815.5271;969.2472;0;0;0.418685;0;0;
20220109_154815.5717;1013.8659;0;0;0.418685;0;0;
20220109_154815.5887;1030.9128;0;0;0.418685;0;0;
20220109_154815.6188;1060.9914;0;0;0.418685;0;0;
20220109_154815.6489;1091.1211;0;0;0.418685;0;0;
20220109_154815.6815;1123.6792;0;0;0.418685;0;0;
20220109_154815.7116;1153.7591;0;0;0.418685;0;0;
20220109_154815.7732;1215.4236;0;0;0.418685;0;0;
20220109_154815.7903;1232.4718;0;0;0.418685;0;0;
20220109_154815.8214;1263.5813;0;0;0.418685;0;0;
20220109_154815.8515;1293.6612;0;0;0.418685;0;0;
20220109_154815.8685;1310.676;0;0;0.418685;0;0;
20220109_154815.8996;1341.7591;0;0;0.418685;0;0;
20220109_154815.9291;1371.338;0;0;0.418685;0;0;
20220109_154815.9778;1419.9673;0;0;0.418685;0;0;
20220109_154816.0069;1449.0735;0;0;0.418685;0;0;
20220109_154816.0244;1466.5913;0;0;0.418685;0;0;
20220109_154816.0550;1497.1973;0;0;0.4186851;0;0;
20220109_154816.0886;1530.7609;0;0;0.4186851;0;0;
20220109_154816.1187;1560.8702;0;0;0.4186851;0;0;
20220109_154816.1828;1625.0114;0;0;0.4186851;0;0;
20220109_154816.2149;1657.097;0;0;0.4186851;0;0;
20220109_154816.2420;1684.1954;0;0;0.4186851;0;0;
20220109_154816.2741;1716.2787;0;0;0.4186851;0;0;
20220109_154816.3037;1745.8613;0;0;0.4186851;0;0;
20220109_154816.3207;1762.8788;0;0;0.4186851;0;0;
20220109_154816.3382;1780.425;0;0;0.4186851;0;0;
20220109_154816.3844;1826.5473;0;0;0.4186851;0;0;
20220109_154816.4132;1855.3458;0;0;0.4186851;0;0;
20220109_154816.4457;1887.9052;0;0;0.4186851;0;0;
20220109_154816.4643;1906.4563;0;0;0.4186851;0;0;
20220109_154816.4924;1934.5572;0;0;0.4186851;0;0;
20220109_154816.5094;1951.573;0;0;0.4186851;0;0;
20220109_154816.5390;1981.1529;0;0;0.416263;0;0;
20220109_154816.5858;2027.979;0;0;0.416263;0;0;
20220109_154816.6179;2060.0633;0;0;0.416263;0;0;
20220109_154816.6490;2091.1461;0;0;0.416263;0;0;
20220109_154816.6796;2121.7595;0;0;0.416263;0;0;
20220109_154816.7141;2156.3198;0;0;0.416263;0;0;
20220109_154816.7442;2186.3991;0;0;0.416263;0;0;
20220109_154816.8039;2246.0576;0;0;0.416263;0;0;
20220109_154816.8209;2263.103;0;0;0.416263;0;0;
20220109_154816.8525;2294.6866;0;0;0.416263;0;0;
