Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P10,2815.3,2815.85,0.5499999999997272,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,2816.3,2816.85,0.5499999999997272,,others,expressway,,,,,,yes,looking at the phone,yes
P10,2819.0,2820.0,1.0,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,2820.4,2821.2,0.7999999999997272,,forward/backward,expressway,,,,,,yes,,yes
P10,2822.25,2823.05,0.8000000000001819,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,2854.75,2855.1,0.34999999999990905,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,2855.75,2856.5,0.75,,others,expressway,,,,,,yes,looking at the phone,yes
P10,2857.1,2858.3,1.2000000000002728,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,2859.25,2859.8,0.5500000000001819,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,2000.25,2001.05,0.7999999999999545,,pause/play,expressway,,,,,,yes,,yes
P10,2901.35,2901.8,0.45000000000027285,,others,expressway,,,,,,yes,looking at the phone,yes
P10,2909.8,2909.8,0.0,,pause/play,expressway,,,,,,No,,yes
P10,3007.8,3009.2,1.3999999999996362,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,3009.6,3010.3,0.7000000000002728,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,3022.05,3023.9,1.849999999999909,,Vol-up/down,expressway,close to a car on the other lane,,,,,yes,,yes
P10,3024.75,3025.25,0.5,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P10,3025.75,3026.3,0.5500000000001819,,pause/play,expressway,,,,,,yes,,yes
P10,3027.5,3028.8,1.300000000000182,,pause/play,expressway,,,,,,yes,looking at the phone for feedback before interaction,yes
