country,year,fertility_rate,life_expectancy
Afghanistan,1990,7.466,50.331
Albania,1990,2.978,71.836
Algeria,1990,4.726,66.938
Angola,1990,7.272,45.306
Antigua and Barbuda,1990,2.067,71.52
Argentina,1990,2.997,71.594
Armenia,1990,2.544,67.879
Aruba,1990,2.249,73.468
Australia,1990,1.902,76.99463415
Austria,1990,1.46,75.56829268
Azerbaijan,1990,2.74,64.827
"Bahamas, The",1990,2.64,70.199
Bahrain,1990,3.732,72.39
Bangladesh,1990,4.495,58.21
Barbados,1990,1.74,74.704
Belarus,1990,1.913,70.83658537
Belgium,1990,1.62,76.05195122
Belize,1990,4.508,71.242
Benin,1990,6.744,53.812
Bhutan,1990,5.493,52.878
Bolivia,1990,4.89,56.099
Bosnia and Herzegovina,1990,1.772,70.877
Botswana,1990,4.485,59.191
Brazil,1990,2.902,66.343
Brunei Darussalam,1990,3.29,70.185
Bulgaria,1990,1.82,71.64146341
Burkina Faso,1990,7.007,49.454
Burundi,1990,7.405,47.829
Cabo Verde,1990,5.392,64.676
Cambodia,1990,5.601,53.595
Cameroon,1990,6.436,53.362
Canada,1990,1.83,77.42195122
Central African Republic,1990,5.811,49.104
Chad,1990,7.313,47.019
Channel Islands,1990,1.483,75.41
Chile,1990,2.579,73.509
China,1990,2.309,69.145
Colombia,1990,3.082,69.75
Comoros,1990,6.412,56.677
"Congo, Dem. Rep.",1990,6.746,49.043
"Congo, Rep.",1990,5.119,54.638
Costa Rica,1990,3.264,75.654
Cote d'Ivoire,1990,6.622,53.254
Croatia,1990,1.63,72.1704878
Cuba,1990,1.714,74.638
Cyprus,1990,2.411,76.554
Czech Republic,1990,1.9,71.38390244
Denmark,1990,1.67,74.80536585
Djibouti,1990,6.073,56.678
Dominican Republic,1990,3.411,66.574
Ecuador,1990,3.744,68.899
"Egypt, Arab Rep.",1990,4.58,64.572
El Salvador,1990,3.964,64
Equatorial Guinea,1990,5.987,48.775
Eritrea,1990,6.496,49.588
Estonia,1990,2.05,69.47560976
Eswatini,1990,5.106,61.95
Ethiopia,1990,7.246,47.099
Faroe Islands,1990,2.8,76.11463415
Fiji,1990,3.398,65.379
Finland,1990,1.78,74.81317073
France,1990,1.77,76.6
French Polynesia,1990,3.401,68.704
Gabon,1990,5.442,60.965
"Gambia, The",1990,6.096,52.221
Georgia,1990,2.18,70.386
Germany,1990,1.45,75.2277561
Ghana,1990,5.602,56.776
Greece,1990,1.39,76.93902439
Grenada,1990,3.842,69.598
Guam,1990,3.013,71.925
Guatemala,1990,5.437,62.261
Guinea,1990,6.598,49.987
Guinea-Bissau,1990,6.627,47.095
Guyana,1990,3.069,63.287
Haiti,1990,5.43,54.265
Honduras,1990,5.123,66.723
"Hong Kong SAR, China",1990,1.272,77.3804878
Hungary,1990,1.87,69.31560976
Iceland,1990,2.3,78.03634146
India,1990,4.045,57.865
Indonesia,1990,3.122,62.32
"Iran, Islamic Rep.",1990,4.691,63.837
Iraq,1990,5.882,66.011
Ireland,1990,2.11,74.80909756
Israel,1990,2.824,76.60731707
Italy,1990,1.33,76.97073171
Jamaica,1990,2.947,73.204
Japan,1990,1.54,78.83682927
Jordan,1990,5.521,69.872
Kazakhstan,1990,2.72,68.33658537
Kenya,1990,6.066,57.406
Kiribati,1990,4.688,59.636
"Korea, Dem. People’s Rep.",1990,2.289,69.896
"Korea, Rep.",1990,1.57,71.59756098
Kosovo,1990,3.9,67.74878049
Kuwait,1990,2.967,72.15
Kyrgyz Republic,1990,3.63,68.29756098
Lao PDR,1990,6.151,53.364
Latvia,1990,2.02,69.27317073
Lebanon,1990,3.372,70.266
Lesotho,1990,4.721,59.837
Liberia,1990,6.499,46.046
Libya,1990,4.966,68.503
Lithuania,1990,2.03,71.16073171
Luxembourg,1990,1.6,75.01041463
"Macao SAR, China",1990,1.722,77.296
Madagascar,1990,6.179,51.003
Malawi,1990,6.872,46.096
Malaysia,1990,3.554,70.865
Maldives,1990,6.003,61.529
Mali,1990,7.165,45.746
Malta,1990,2.02,76.78607317
Mauritania,1990,5.881,59.688
Mauritius,1990,2.32,69.40487805
Mexico,1990,3.47,70.866
"Micronesia, Fed. Sts.",1990,4.958,63.605
Moldova,1990,2.414,67.643
Mongolia,1990,4.052,60.268
Montenegro,1990,2.078,74.627
Morocco,1990,4.047,64.732
Mozambique,1990,6.211,45.261
Myanmar,1990,3.447,56.849
Namibia,1990,5.219,61.608
Nepal,1990,5.172,54.404
Netherlands,1990,1.62,76.87804878
New Caledonia,1990,3.18,70.48536585
New Zealand,1990,2.18,75.37804878
Nicaragua,1990,4.596,64.293
Niger,1990,7.772,43.538
Nigeria,1990,6.49,45.9
North Macedonia,1990,2.206,71.152
Norway,1990,1.93,76.53731707
Oman,1990,7.165,67.18
Pakistan,1990,6.164,60.1
Panama,1990,3.057,72.982
Papua New Guinea,1990,4.802,56.492
Paraguay,1990,4.547,68.545
Peru,1990,3.912,66.165
Philippines,1990,4.32,66.366
Poland,1990,2.06,70.8902439
Portugal,1990,1.56,73.96585366
Puerto Rico,1990,2.219,74.16917073
Qatar,1990,4.013,75.824
Romania,1990,1.83,69.74121951
Russian Federation,1990,1.892,68.88609756
Rwanda,1990,7.184,33.413
Samoa,1990,5.118,66.281
Sao Tome and Principe,1990,5.828,58.247
Saudi Arabia,1990,5.911,69.078
Senegal,1990,6.448,57.202
Sierra Leone,1990,6.721,38.563
Singapore,1990,1.83,75.29512195
Slovak Republic,1990,2.09,70.93268293
Slovenia,1990,1.46,73.20487805
Solomon Islands,1990,5.851,64.365
Somalia,1990,7.398,45.378
South Africa,1990,3.964,63.307
South Sudan,1990,6.761,43.524
Spain,1990,1.36,76.83756098
Sri Lanka,1990,2.483,69.509
St. Lucia,1990,3.399,71.074
St. Martin (French part),1990,2.12,74.52195122
St. Vincent and the Grenadines,1990,2.956,70.58
Sudan,1990,6.152,55.5
Suriname,1990,3.267,67.436
Sweden,1990,2.13,77.53682927
Switzerland,1990,1.58,77.24243902
Syrian Arab Republic,1990,5.309,70.553
Tajikistan,1990,5.225,58.824
Tanzania,1990,6.213,50.206
Thailand,1990,2.113,70.248
Timor-Leste,1990,5.478,48.492
Togo,1990,6.185,55.887
Tonga,1990,4.644,68.935
Trinidad and Tobago,1990,2.453,68.086
Tunisia,1990,3.476,68.792
Turkey,1990,3.107,64.256
Turkmenistan,1990,4.344,62.81
Uganda,1990,7.091,45.853
Ukraine,1990,1.844,70.09756098
United Arab Emirates,1990,4.454,71.939
United Kingdom,1990,1.83,75.8804878
United States,1990,2.081,75.21463415
Uruguay,1990,2.52,72.569
Uzbekistan,1990,4.072,66.481
Vanuatu,1990,4.926,64.721
"Venezuela, RB",1990,3.448,70.658
Vietnam,1990,3.553,70.551
Virgin Islands (U.S.),1990,2.954,74.23585366
West Bank and Gaza,1990,6.718,68.048
"Yemen, Rep.",1990,8.606,57.346
Zambia,1990,6.442,49.249
Zimbabwe,1990,4.862,58.1
Afghanistan,2018,4.473,64.486
Albania,2018,1.617,78.458
Algeria,2018,3.023,76.693
Angola,2018,5.519,60.782
Antigua and Barbuda,2018,1.994,76.885
Argentina,2018,2.261,76.52
Armenia,2018,1.755,74.945
Aruba,2018,1.896,76.152
Australia,2018,1.74,82.74878049
Austria,2018,1.47,81.69268293
Azerbaijan,2018,1.73,72.864
"Bahamas, The",2018,1.752,73.752
Bahrain,2018,1.987,77.163
Bangladesh,2018,2.036,72.32
Barbados,2018,1.619,79.081
Belarus,2018,1.448,74.17560976
Belgium,2018,1.62,81.59512195
Belize,2018,2.307,74.496
Benin,2018,4.836,61.47
Bhutan,2018,1.975,71.46
Bolivia,2018,2.73,71.239
Bosnia and Herzegovina,2018,1.265,77.262
Botswana,2018,2.874,69.275
Brazil,2018,1.73,75.672
Brunei Darussalam,2018,1.848,75.722
Bulgaria,2018,1.56,74.96341463
Burkina Faso,2018,5.189,61.174
Burundi,2018,5.41,61.247
Cabo Verde,2018,2.274,72.782
Cambodia,2018,2.503,69.57
Cameroon,2018,4.572,58.921
Canada,2018,1.4988,81.94878049
Central African Republic,2018,4.721,52.805
Chad,2018,5.747,53.977
Channel Islands,2018,1.51,82.928
Chile,2018,1.649,80.042
China,2018,1.69,76.704
Colombia,2018,1.807,77.109
Comoros,2018,4.205,64.118
"Congo, Dem. Rep.",2018,5.919,60.368
"Congo, Rep.",2018,4.428,64.29
Costa Rica,2018,1.754,80.095
Cote d'Ivoire,2018,4.649,57.422
Croatia,2018,1.47,78.07073171
Cuba,2018,1.618,78.726
Cyprus,2018,1.329,80.828
Czech Republic,2018,1.71,79.02926829
Denmark,2018,1.73,80.95365854
